controlId,name
C0,DQ_control_0000
C1,DQ_control_0001
C2,DQ_control_0002
C3,DQ_control_0003
C4,DQ_control_0004
C5,DQ_control_0005
C6,DQ_control_0006
C7,DQ_control_0007
C8,DQ_control_0008
C9,DQ_control_0009
C10,DQ_control_0010
C11,DQ_control_0011
C12,DQ_control_0012
C13,DQ_control_0013
C14,DQ_control_0014
C15,DQ_control_0015
C16,DQ_control_0016
C17,DQ_control_0017
C18,DQ_control_0018
C19,DQ_control_0019
C20,DQ_control_0020
C21,DQ_control_0021
C22,DQ_control_0022
C23,DQ_control_0023
C24,DQ_control_0024
C25,DQ_control_0025
C26,DQ_control_0026
C27,DQ_control_0027
C28,DQ_control_0028
C29,DQ_control_0029
C30,DQ_control_0030
C31,DQ_control_0031
C32,DQ_control_0032
C33,DQ_control_0033
C34,DQ_control_0034
C35,DQ_control_0035
C36,DQ_control_0036
C37,DQ_control_0037
C38,DQ_control_0038
C39,DQ_control_0039
C40,DQ_control_0040
C41,DQ_control_0041
C42,DQ_control_0042
C43,DQ_control_0043
C44,DQ_control_0044
C45,DQ_control_0045
C46,DQ_control_0046
C47,DQ_control_0047
C48,DQ_control_0048
C49,DQ_control_0049
C50,DQ_control_0050
C51,DQ_control_0051
C52,DQ_control_0052
C53,DQ_control_0053
C54,DQ_control_0054
C55,DQ_control_0055
C56,DQ_control_0056
C57,DQ_control_0057
C58,DQ_control_0058
C59,DQ_control_0059
C60,DQ_control_0060
C61,DQ_control_0061
C62,DQ_control_0062
C63,DQ_control_0063
C64,DQ_control_0064
C65,DQ_control_0065
C66,DQ_control_0066
C67,DQ_control_0067
C68,DQ_control_0068
C69,DQ_control_0069
C70,DQ_control_0070
C71,DQ_control_0071
C72,DQ_control_0072
C73,DQ_control_0073
C74,DQ_control_0074
C75,DQ_control_0075
C76,DQ_control_0076
C77,DQ_control_0077
C78,DQ_control_0078
C79,DQ_control_0079
C80,DQ_control_0080
C81,DQ_control_0081
C82,DQ_control_0082
C83,DQ_control_0083
C84,DQ_control_0084
C85,DQ_control_0085
C86,DQ_control_0086
C87,DQ_control_0087
C88,DQ_control_0088
C89,DQ_control_0089
C90,DQ_control_0090
C91,DQ_control_0091
C92,DQ_control_0092
C93,DQ_control_0093
C94,DQ_control_0094
C95,DQ_control_0095
C96,DQ_control_0096
C97,DQ_control_0097
C98,DQ_control_0098
C99,DQ_control_0099
C100,DQ_control_0100
C101,DQ_control_0101
C102,DQ_control_0102
C103,DQ_control_0103
C104,DQ_control_0104
