reportId,name
R0,FRTB-SA Capital #0
R1,FRTB-IMA Capital #1
R2,Basel III LCR #2
R3,Basel III NSFR #3
R4,CCAR Submission #4
R5,Volcker Metrics #5
R6,MiFID II Transaction Report #6
R7,EMIR Trade Report #7
R8,Liquidity Coverage #8
R9,VaR Backtest #9
R10,Counterparty Credit Exposure #10
R11,Leverage Ratio #11
R12,FRTB-SA Capital #12
R13,FRTB-IMA Capital #13
R14,Basel III LCR #14
R15,Basel III NSFR #15
R16,CCAR Submission #16
R17,Volcker Metrics #17
R18,MiFID II Transaction Report #18
R19,EMIR Trade Report #19
R20,Liquidity Coverage #20
R21,VaR Backtest #21
R22,Counterparty Credit Exposure #22
R23,Leverage Ratio #23
R24,FRTB-SA Capital #24
R25,FRTB-IMA Capital #25
R26,Basel III LCR #26
R27,Basel III NSFR #27
R28,CCAR Submission #28
R29,Volcker Metrics #29
R30,MiFID II Transaction Report #30
R31,EMIR Trade Report #31
R32,Liquidity Coverage #32
R33,VaR Backtest #33
R34,Counterparty Credit Exposure #34
R35,Leverage Ratio #35
R36,FRTB-SA Capital #36
R37,FRTB-IMA Capital #37
R38,Basel III LCR #38
R39,Basel III NSFR #39
R40,CCAR Submission #40
R41,Volcker Metrics #41
R42,MiFID II Transaction Report #42
R43,EMIR Trade Report #43
R44,Liquidity Coverage #44
R45,VaR Backtest #45
R46,Counterparty Credit Exposure #46
R47,Leverage Ratio #47
R48,FRTB-SA Capital #48
R49,FRTB-IMA Capital #49
R50,Basel III LCR #50
R51,Basel III NSFR #51
R52,CCAR Submission #52
R53,Volcker Metrics #53
R54,MiFID II Transaction Report #54
R55,EMIR Trade Report #55
R56,Liquidity Coverage #56
R57,VaR Backtest #57
R58,Counterparty Credit Exposure #58
R59,Leverage Ratio #59
R60,FRTB-SA Capital #60
R61,FRTB-IMA Capital #61
R62,Basel III LCR #62
R63,Basel III NSFR #63
R64,CCAR Submission #64
R65,Volcker Metrics #65
R66,MiFID II Transaction Report #66
R67,EMIR Trade Report #67
R68,Liquidity Coverage #68
R69,VaR Backtest #69
R70,Counterparty Credit Exposure #70
R71,Leverage Ratio #71
R72,FRTB-SA Capital #72
R73,FRTB-IMA Capital #73
R74,Basel III LCR #74
R75,Basel III NSFR #75
R76,CCAR Submission #76
R77,Volcker Metrics #77
R78,MiFID II Transaction Report #78
R79,EMIR Trade Report #79
R80,Liquidity Coverage #80
R81,VaR Backtest #81
R82,Counterparty Credit Exposure #82
R83,Leverage Ratio #83
R84,FRTB-SA Capital #84
R85,FRTB-IMA Capital #85
R86,Basel III LCR #86
R87,Basel III NSFR #87
R88,CCAR Submission #88
R89,Volcker Metrics #89
R90,MiFID II Transaction Report #90
R91,EMIR Trade Report #91
R92,Liquidity Coverage #92
R93,VaR Backtest #93
R94,Counterparty Credit Exposure #94
R95,Leverage Ratio #95
R96,FRTB-SA Capital #96
R97,FRTB-IMA Capital #97
R98,Basel III LCR #98
R99,Basel III NSFR #99
R100,CCAR Submission #100
R101,Volcker Metrics #101
R102,MiFID II Transaction Report #102
R103,EMIR Trade Report #103
R104,Liquidity Coverage #104
R105,VaR Backtest #105
R106,Counterparty Credit Exposure #106
R107,Leverage Ratio #107
R108,FRTB-SA Capital #108
R109,FRTB-IMA Capital #109
R110,Basel III LCR #110
R111,Basel III NSFR #111
R112,CCAR Submission #112
R113,Volcker Metrics #113
R114,MiFID II Transaction Report #114
R115,EMIR Trade Report #115
R116,Liquidity Coverage #116
R117,VaR Backtest #117
R118,Counterparty Credit Exposure #118
