sourceId,name,kind
SRC0,Booking-000,Booking
SRC1,ReferenceData-001,MarketData
SRC2,MarketData-002,MarketData
SRC3,Booking-003,PnL
SRC4,Booking-004,PnL
SRC5,Settlement-005,Booking
SRC6,Booking-006,Booking
SRC7,MarketData-007,MarketData
SRC8,PnL-008,PnL
SRC9,Booking-009,PnL
SRC10,MarketData-010,PnL
SRC11,Settlement-011,MarketData
SRC12,Settlement-012,PnL
SRC13,ReferenceData-013,Booking
SRC14,MarketData-014,Settlement
SRC15,ReferenceData-015,ReferenceData
SRC16,MarketData-016,MarketData
SRC17,ReferenceData-017,Booking
SRC18,Booking-018,Settlement
SRC19,Booking-019,ReferenceData
SRC20,ReferenceData-020,PnL
SRC21,ReferenceData-021,Booking
SRC22,Settlement-022,PnL
SRC23,Booking-023,Settlement
SRC24,Booking-024,PnL
SRC25,ReferenceData-025,PnL
SRC26,ReferenceData-026,PnL
SRC27,MarketData-027,Booking
SRC28,Booking-028,MarketData
SRC29,ReferenceData-029,Booking
SRC30,MarketData-030,Booking
SRC31,Settlement-031,ReferenceData
SRC32,Settlement-032,ReferenceData
SRC33,MarketData-033,ReferenceData
SRC34,ReferenceData-034,MarketData
SRC35,ReferenceData-035,Booking
SRC36,PnL-036,MarketData
SRC37,PnL-037,MarketData
SRC38,MarketData-038,Settlement
SRC39,Settlement-039,ReferenceData
