childFieldId,parentFieldId
F14269,F14235
F15061,F15021
F3402,F3227
F7540,F7228
F10298,F10041
F3268,F3129
F8636,F8258
F9802,F9465
F15649,F15489
F17541,F17537
F16955,F16820
F8723,F8706
F8508,F8113
F11436,F11387
F8177,F8136
F14889,F14858
F3786,F3529
F15385,F15265
F6765,F6523
F17890,F17706
F14293,F14080
F3148,F2821
F8125,F8057
F3872,F3721
F15995,F15753
F7633,F7361
F11450,F11431
F9416,F9234
F14599,F14424
F4806,F4636
F4297,F4273
F9499,F9200
F7861,F7507
F15722,F15554
F5074,F4869
F7539,F7475
F10117,F10050
F16632,F16277
F12957,F12722
F10731,F10631
F14384,F14372
F9392,F9105
F9557,F9463
F16580,F16401
F11472,F11234
F14763,F14749
F6570,F6433
F3721,F3607
F11642,F11425
F9487,F9263
F17017,F16990
F12661,F12539
F9059,F8823
F9839,F9541
F6863,F6790
F10158,F10058
F10387,F10164
F8169,F7995
F16287,F16109
F3024,F2936
F3134,F3094
F12317,F12122
F15693,F15679
F14735,F14543
F13062,F13010
F8485,F8381
F17262,F16984
F15719,F15629
F7637,F7516
F13541,F13283
F3885,F3676
F14564,F14365
F8954,F8869
F10714,F10658
F6333,F6136
F16826,F16483
F2915,F2794
F10607,F10567
F16140,F15774
F6369,F6034
F14983,F14897
F9308,F8986
F15598,F15464
F16185,F16148
F3082,F2917
F5732,F5366
F4755,F4371
F5834,F5739
F7548,F7349
F13507,F13136
F12571,F12527
F13995,F13976
F14090,F13981
F14118,F13727
F4095,F3859
F8619,F8517
F15886,F15846
F8736,F8713
F10361,F10307
F9222,F8996
F10768,F10551
F6909,F6661
F14090,F13985
F2940,F2888
F13749,F13628
F8748,F8696
F3350,F3043
F3260,F2932
F6142,F6141
F14116,F13726
F7740,F7482
F5186,F4795
F4529,F4325
F10322,F10100
F3829,F3803
F9018,F8775
F7450,F7274
F15176,F14819
F5097,F4905
F3228,F3031
F10541,F10223
F4865,F4639
F15504,F15219
F12610,F12526
F9258,F9230
F5477,F5181
F16765,F16582
F12317,F12008
F13713,F13688
F11808,F11437
F15356,F15020
F17391,F17034
F5461,F5252
F9144,F8895
F13632,F13258
F13526,F13324
F10408,F10389
F10805,F10481
F8631,F8369
F13486,F13425
F15445,F15214
F17671,F17541
F10465,F10158
F12648,F12499
F2934,F2819
F5701,F5412
F9385,F9192
F13441,F13329
F5814,F5688
F9108,F8740
F11126,F10762
F15557,F15293
F13274,F13012
F10291,F10214
F17716,F17532
F7432,F7304
F14790,F14684
F3188,F2957
F13943,F13577
F14840,F14719
F17997,F17703
F13188,F13002
F6635,F6525
F4076,F3792
F15814,F15461
F9833,F9649
F5398,F5275
F9518,F9514
F2859,F2485
F6744,F6455
F17098,F16745
F14933,F14680
F4938,F4919
F7664,F7557
F3149,F3023
F13699,F13366
F5123,F5113
F4326,F4310
F11815,F11706
F13868,F13626
F14598,F14580
F17127,F17013
F10026,F9967
F16599,F16395
F6901,F6623
F10355,F10220
F13811,F13679
F7168,F6924
F5756,F5504
F9335,F9055
F16531,F16473
F13087,F12732
F5533,F5270
F11403,F11106
F5246,F4850
F14178,F14165
F17530,F17381
F15238,F15202
F9417,F9326
F14145,F13838
F16686,F16286
F17985,F17663
F5348,F5296
F17379,F17204
F3289,F2896
F11075,F11039
F8784,F8530
F17077,F16840
F16235,F15915
F14022,F13676
F17531,F17251
F12203,F12141
F8845,F8637
F11586,F11251
F15553,F15499
F12458,F12239
F6937,F6640
F6152,F6138
F14259,F13861
F17799,F17493
F9133,F9117
F15108,F14848
F6479,F6136
F12342,F12199
F8993,F8910
F11688,F11524
F6715,F6445
F7516,F7156
F15723,F15573
F9814,F9464
F4679,F4434
F10822,F10761
F4717,F4405
F4920,F4555
F7277,F7146
F14992,F14692
F5937,F5615
F17356,F17082
F4032,F3865
F16323,F16267
F9135,F8926
F13887,F13689
F7506,F7212
F9899,F9796
F9020,F8699
F11095,F10705
F8432,F8080
F3490,F3280
F9684,F9354
F13590,F13280
F14159,F13863
F10739,F10381
F9176,F9110
F16106,F15810
F12480,F12163
F4048,F4036
F5224,F5020
F7172,F6840
F4639,F4575
F9993,F9597
F5968,F5747
F12832,F12819
F15068,F14709
F6987,F6867
F8998,F8607
F3572,F3227
F17864,F17819
F5356,F5280
F10093,F10029
F11469,F11088
F16039,F15680
F10594,F10275
F17094,F16929
F13718,F13453
F13617,F13544
F3219,F3159
F6966,F6853
F8819,F8611
F11896,F11766
F5177,F4934
F13413,F13182
F4738,F4585
F14494,F14229
F11992,F11803
F7282,F7163
F13548,F13259
F15811,F15589
F15091,F14956
F11355,F11227
F17580,F17192
F4075,F4057
F4276,F3878
F8536,F8160
F16421,F16384
F7440,F7068
F13157,F13080
F5296,F4984
F14837,F14439
F15720,F15637
F15024,F14698
F12744,F12475
F10377,F10304
F6561,F6376
F6453,F6193
F14385,F14032
F3065,F2816
F8227,F8111
F17860,F17795
F14871,F14857
F13192,F13078
F16902,F16521
F15641,F15412
F8514,F8227
F16450,F16133
F8909,F8764
F10765,F10634
F14428,F14332
F5198,F4941
F16624,F16331
F6930,F6599
F10298,F10057
F10795,F10778
F3122,F3029
F10674,F10294
F11835,F11539
F12071,F11950
F8519,F8503
F6219,F5978
F5458,F5407
F11234,F10926
F10045,F9937
F6237,F5951
F7953,F7817
F17615,F17394
F8913,F8812
F12069,F11969
F10309,F10169
F6707,F6440
F8477,F8247
F12929,F12653
F4264,F4061
F17843,F17732
F2749,F2612
F7045,F6915
F3206,F3127
F11118,F11041
F7290,F6891
F8986,F8731
F11622,F11302
F16991,F16843
F3075,F2876
F17830,F17746
F11654,F11512
F9677,F9551
F13049,F12658
F4584,F4199
F10073,F10003
F5059,F5032
F16229,F15971
F17769,F17644
F15832,F15465
F8942,F8616
F17945,F17909
F9405,F9063
F15482,F15338
F5379,F5210
F7299,F6947
F17607,F17578
F12891,F12537
F12761,F12689
F13927,F13640
F10941,F10600
F5085,F5026
F15567,F15181
F15033,F14661
F7115,F6855
F14016,F13750
F14279,F14021
F10900,F10507
F9384,F8995
F10094,F9697
F15659,F15569
F16215,F15984
F13583,F13246
F11840,F11494
F15133,F14929
F13392,F13379
F16821,F16426
F16203,F15989
F9317,F8980
F17628,F17241
F16962,F16876
F3186,F2787
F9140,F8921
F16529,F16359
F11689,F11473
F7293,F7144
F17283,F16892
F2888,F2642
F9810,F9476
F5109,F4875
F2990,F2893
F4087,F4004
F4325,F4237
F3657,F3553
F17385,F17031
F12104,F11810
F8340,F8261
F14644,F14490
F4775,F4472
F17058,F16985
F5361,F5056
F9671,F9670
F10778,F10494
F15648,F15295
F16891,F16753
F12743,F12535
F8894,F8655
F8940,F8604
F9677,F9447
F13373,F13063
F14582,F14232
F11736,F11647
F3119,F2993
F10462,F10231
F17823,F17792
F3947,F3750
F12645,F12595
F12770,F12643
F9274,F9166
F12181,F12156
F5878,F5737
F10069,F9912
F11067,F11022
F12354,F12165
F12918,F12631
F13714,F13575
F15335,F15236
F8153,F7851
F16885,F16500
F5997,F5681
F7999,F7853
F7083,F6873
F9137,F8813
F8562,F8181
F15622,F15436
F11386,F11026
F5291,F4955
F11056,F10805
F10901,F10704
F7363,F7172
F12785,F12414
F7843,F7644
F6022,F5638
F3566,F3271
F10855,F10724
F13203,F13136
F15049,F14932
F11056,F10982
F6482,F6119
F16800,F16453
F9963,F9951
F14917,F14697
F6984,F6869
F5260,F5223
F5760,F5635
F10321,F10078
F14483,F14335
F13115,F12793
F3408,F3064
F6686,F6369
F4290,F4196
F4507,F4286
F4823,F4719
F10835,F10677
F7647,F7345
F16036,F15884
F15442,F15230
F7187,F7053
F10660,F10295
F6277,F5907
F13665,F13611
F2705,F2336
F10649,F10382
F6793,F6447
F3910,F3862
F8371,F8075
F13156,F12897
F14280,F14073
F2882,F2818
F6948,F6875
F3823,F3494
F12056,F11701
F17980,F17602
F16303,F16288
F16911,F16738
F5795,F5623
F9484,F9251
F15676,F15330
F15942,F15793
F13646,F13517
F14612,F14334
F13031,F12949
F16462,F16312
F17233,F16884
F17293,F17112
F7947,F7586
F16657,F16639
F7629,F7466
F14192,F14077
F15633,F15498
F14043,F13757
F9101,F8784
F7439,F7102
F14806,F14569
F9484,F9113
F3313,F3218
F14637,F14601
F6284,F6000
F10526,F10478
F17483,F17358
F7954,F7632
F15281,F15056
F4126,F3823
F10254,F10079
F14487,F14400
F3779,F3539
F14338,F14151
F11108,F10987
F16074,F15781
F9326,F9136
F10254,F9854
F11346,F11315
F12009,F11660
F9635,F9569
F9184,F9150
F11904,F11786
F7986,F7976
F14640,F14446
F8098,F7947
F15519,F15243
F14921,F14606
F3163,F3018
F4963,F4698
F17184,F17011
F8056,F7962
F5822,F5807
F8210,F8067
F17709,F17641
F3220,F2864
F11386,F11271
F11488,F11228
F12915,F12525
F17101,F16803
F13635,F13543
F14352,F14006
F15697,F15559
F16769,F16740
F11544,F11541
F4555,F4420
F15675,F15613
F3656,F3278
F7813,F7440
F16062,F15996
F14298,F14051
F5731,F5722
F7367,F7175
F6084,F5898
F16141,F15926
F13276,F13269
F4429,F4215
F3499,F3289
F12826,F12701
F9243,F9104
F13974,F13957
F7284,F7074
F16155,F15766
F17427,F17120
F17474,F17440
F6635,F6319
F7579,F7507
F12598,F12354
F15023,F14893
F15755,F15668
F16572,F16484
F16588,F16191
F12070,F11992
F17763,F17465
F7946,F7662
F12858,F12535
F11087,F10874
F17422,F17140
F13040,F12834
F16452,F16429
F12190,F12040
F10002,F9699
F7665,F7657
F7019,F6840
F14470,F14238
F4662,F4633
F12179,F11896
F4650,F4636
F15299,F15285
F3150,F2772
F11955,F11611
F14494,F14277
F3141,F2869
F9271,F9043
F17708,F17566
F3764,F3389
F11862,F11676
F8781,F8759
F10170,F9978
F14006,F13890
F12408,F12046
F16208,F16104
F4593,F4586
F12940,F12668
F6143,F5794
F14989,F14660
F11653,F11329
F16275,F16247
F7640,F7268
F9142,F8760
F16655,F16416
F12903,F12562
F9229,F9181
F15591,F15256
F16834,F16737
F3817,F3433
F5966,F5790
F17499,F17106
F16482,F16097
F6206,F6097
F8224,F7939
F6511,F6180
F2786,F2470
F16380,F16165
F16044,F15831
F8151,F8129
F11620,F11432
F5562,F5361
F12013,F11669
F8323,F8075
F3095,F2997
F9864,F9638
F16225,F16152
F13105,F12898
F6731,F6544
F11914,F11644
F13617,F13591
F9459,F9090
F11521,F11357
F8842,F8658
F11184,F11140
F16456,F16278
F11019,F10786
F17592,F17464
F12213,F11859
F6540,F6474
F9768,F9401
F11155,F10857
F4739,F4711
F5368,F5352
F11603,F11460
F15753,F15578
F12456,F12381
F12257,F12090
F6822,F6597
F14147,F13769
F12037,F11758
F4569,F4544
F3957,F3783
F14476,F14237
F4544,F4163
F6150,F5877
F15181,F14884
F12108,F11792
F3386,F3131
F16739,F16561
F12804,F12750
F17769,F17718
F14497,F14124
F13884,F13778
F9780,F9678
F5638,F5342
F12468,F12139
F10795,F10649
F17637,F17619
F9231,F9128
F16335,F16116
F4608,F4307
F6584,F6388
F14623,F14482
F12722,F12382
F6849,F6641
F14190,F14182
F14539,F14174
F10841,F10827
F3084,F3083
F6640,F6553
F7972,F7871
F14733,F14347
F9115,F8982
F7462,F7408
F16792,F16682
F5543,F5469
F6940,F6813
F7019,F6805
F14725,F14673
F12764,F12535
F13109,F13087
F16069,F15911
F15201,F14979
F17615,F17390
F6985,F6649
F13460,F13260
F6316,F6038
F13114,F12989
F5121,F5026
F16593,F16359
F17870,F17859
F9553,F9352
F9510,F9354
F8424,F8078
F12883,F12759
F3220,F2962
F3269,F3085
F8687,F8585
F7661,F7607
F14288,F13926
F15497,F15237
F12515,F12327
F2766,F2433
F17091,F17055
F11652,F11298
F10198,F9918
F9740,F9442
F11414,F11138
F12934,F12892
F12054,F11906
F13439,F13153
F17259,F16866
F15384,F15131
F16071,F16001
F5664,F5423
F8661,F8549
F12974,F12676
F4756,F4393
F6867,F6766
F16493,F16215
F4273,F4242
F12016,F11814
F5774,F5433
F5303,F5156
F12329,F12122
F12087,F11708
F4485,F4353
F4110,F4048
F14012,F13811
F9489,F9325
F8755,F8573
F9006,F8727
F12964,F12856
F14040,F13894
F16642,F16297
F8434,F8053
F9101,F8721
F4352,F4222
F4693,F4376
F15681,F15588
F17297,F17063
F12971,F12614
F7207,F6880
F11613,F11387
F15273,F15175
F8506,F8131
F15130,F14918
F12638,F12420
F16631,F16466
F12164,F12095
F14227,F14050
F16642,F16497
F16762,F16473
F7124,F6851
F16491,F16447
F15599,F15558
F17349,F17283
F5496,F5349
F11889,F11816
F7004,F6943
F3990,F3899
F15782,F15393
F9179,F9026
F3959,F3888
F10044,F9770
F9086,F8757
F10604,F10499
F9713,F9540
F17702,F17368
F5391,F5136
F16315,F15958
F13636,F13289
F14648,F14446
F13444,F13373
F3338,F2963
F7814,F7577
F3953,F3824
F13205,F13197
F10195,F10188
F11900,F11723
F3375,F3370
F5807,F5540
F10108,F9878
F11299,F11206
F9395,F9288
F10429,F10384
F7655,F7622
F14065,F14045
F5083,F4785
F15547,F15182
F17388,F17271
F16490,F16297
F9145,F8852
F8642,F8422
F9421,F9054
F2806,F2522
F13120,F12809
F16720,F16476
F5738,F5672
F13626,F13459
F17162,F16966
F3204,F2864
F4370,F4032
F7085,F6926
F11061,F10922
F10468,F10424
F16805,F16782
F6732,F6688
F17424,F17052
F9203,F8821
F8836,F8543
F11919,F11770
F6941,F6813
F14445,F14158
F17201,F16883
F8165,F7941
F9274,F9103
F3689,F3372
F11358,F11252
F9124,F8997
F6934,F6870
F10761,F10505
F13473,F13470
F6446,F6400
F9898,F9575
F14847,F14538
F10241,F9993
F3880,F3656
F15570,F15300
F5360,F5176
F2967,F2684
F17272,F17197
F15941,F15815
F2798,F2536
F3225,F2848
F16220,F16086
F4081,F3777
F17980,F17718
F3187,F2873
F12162,F12006
F7541,F7320
F13877,F13690
F13411,F13310
F12788,F12498
F13902,F13648
F16972,F16667
F12974,F12689
F15278,F15154
F5735,F5370
F8372,F8276
F15322,F15185
F6243,F6180
F6854,F6493
F10626,F10230
F11738,F11611
F9571,F9217
F12911,F12863
F15576,F15575
F15076,F14727
F17808,F17457
F15624,F15495
F13600,F13521
F4134,F3831
F15505,F15461
F4435,F4308
F6139,F5938
F15574,F15347
F9622,F9377
F12385,F12312
F6855,F6621
F3162,F2889
F5230,F5174
F6755,F6355
F12470,F12255
F10200,F9841
F9379,F9207
F17447,F17255
F17364,F17204
F13279,F13142
F6956,F6782
F15248,F15013
F4066,F3939
F7776,F7619
F14217,F14159
F12631,F12602
F16828,F16540
F7678,F7287
F17238,F17128
F17790,F17619
F17850,F17635
F10720,F10699
F15999,F15631
F11090,F11013
F8182,F7821
F16799,F16798
F14522,F14433
F13367,F13201
F11541,F11154
F11085,F11048
F13003,F12979
F7348,F7241
F16676,F16661
F6105,F5967
F5898,F5872
F8613,F8259
F16821,F16511
F13729,F13562
F16037,F15735
F12997,F12686
F7520,F7147
F13041,F12857
F13269,F13197
F11668,F11565
F17543,F17457
F5376,F5310
F9365,F9349
F12396,F12301
F9813,F9771
F7579,F7243
F12993,F12695
F5504,F5356
F3990,F3660
F13133,F13077
F6830,F6489
F12579,F12274
F4697,F4615
F7070,F7048
F10450,F10272
F12155,F12124
F13613,F13503
F3384,F3166
F13976,F13689
F16949,F16588
F5924,F5911
F5559,F5415
F15522,F15359
F15641,F15609
F3633,F3333
F5658,F5553
F16387,F16056
F17761,F17719
F11146,F10907
F8215,F8069
F5774,F5748
F5075,F4982
F9940,F9846
F6918,F6715
F4560,F4254
F15195,F14902
F3190,F3106
F8718,F8582
F16948,F16838
F5954,F5896
F12300,F11988
F15608,F15543
F8236,F8216
F16100,F15947
F8700,F8406
F6096,F5847
F17131,F16943
F12975,F12644
F8053,F7917
F15292,F15141
F8973,F8721
F9497,F9378
F14827,F14439
F9777,F9534
F11194,F10984
F5579,F5353
F12916,F12708
F4769,F4595
F15068,F15039
F8920,F8532
F10617,F10313
F12695,F12304
F16327,F16035
F8941,F8809
F12414,F12160
F6118,F5810
F15744,F15454
F6967,F6734
F4852,F4524
F16565,F16351
F15842,F15600
F10289,F10032
F13876,F13706
F6718,F6578
F6042,F5838
F4669,F4465
F4855,F4533
F13064,F12723
F15150,F15081
F12829,F12816
F4065,F3886
F12834,F12816
F8455,F8309
F8198,F7931
F15171,F14920
F17143,F16935
F9253,F8994
F7471,F7173
F10975,F10716
F12948,F12719
F13081,F12819
F5477,F5452
F15215,F15025
F8772,F8409
F9115,F8944
F13607,F13556
F3597,F3509
F11598,F11392
F12733,F12516
F7560,F7438
F12756,F12468
F6756,F6583
F11993,F11736
F3070,F2763
F12910,F12675
F15487,F15266
F17029,F16644
F15601,F15296
F17640,F17523
F15356,F15348
F13901,F13641
F14911,F14897
F14542,F14203
F14623,F14375
F8270,F8007
F12542,F12260
F7734,F7440
F17475,F17449
F10750,F10729
F4931,F4589
F8783,F8745
F4464,F4083
F9738,F9377
F6773,F6588
F7086,F6867
F14156,F13998
F10381,F10163
F11959,F11614
F10194,F10159
F8805,F8507
F7127,F6757
F10456,F10214
F6070,F5795
F4094,F4055
F16055,F15806
F3929,F3540
F12478,F12126
F11199,F11152
F14793,F14726
F3092,F2777
F7351,F7030
F8141,F7963
F7360,F7309
F9954,F9723
F13133,F13073
F11220,F11107
F7780,F7488
F12287,F12027
F10544,F10233
F14995,F14848
F6964,F6794
F6349,F6346
F11768,F11493
F13920,F13749
F17788,F17627
F13985,F13702
F8100,F7868
F4512,F4271
F13691,F13578
F3702,F3569
F6292,F6028
F11803,F11764
F2963,F2641
F9687,F9532
F7521,F7520
F8866,F8833
F13881,F13684
F11987,F11677
F2877,F2817
F13490,F13399
F10423,F10045
F15958,F15579
F14009,F13707
F10545,F10459
F15351,F14982
F16453,F16297
F11624,F11255
F17657,F17287
F3886,F3811
F15709,F15367
F5366,F5005
F16336,F16185
F11173,F11004
F16735,F16393
F7697,F7344
F13810,F13454
F9543,F9434
F14173,F13885
F14702,F14438
F6689,F6480
F3794,F3484
F16563,F16244
F6504,F6330
F11741,F11645
F17491,F17180
F3709,F3498
