fieldId,reportId
F16841,R1
F17405,R289
F17785,R161
F17905,R599
F17024,R463
F17035,R377
F16529,R39
F16585,R235
F16881,R497
F16464,R383
F16484,R478
F17477,R430
F17934,R335
F16808,R435
F16951,R258
F16735,R147
F17117,R431
F17663,R338
F16443,R155
F17390,R406
F17173,R291
F16680,R97
F17631,R328
F17881,R132
F16552,R196
F16763,R59
F16606,R588
F16944,R497
F17392,R68
F16248,R426
F16490,R577
F16523,R108
F16545,R104
F16967,R73
F17597,R315
F17970,R434
F16354,R212
F16536,R198
F17901,R300
F16594,R426
F16615,R335
F17000,R455
F17173,R282
F16520,R273
F17113,R264
F17844,R46
F17892,R512
F16920,R525
F17787,R261
F17135,R577
F17741,R423
F17581,R51
F16408,R334
F16871,R80
F16856,R267
F17727,R429
F17849,R229
F17616,R422
F17888,R178
F16689,R85
F17009,R312
F16666,R425
F16900,R189
F17050,R53
F17861,R90
F17245,R598
F17335,R438
F16349,R437
F16554,R516
F17666,R64
F17460,R499
F17046,R258
F16731,R105
F16394,R538
F17307,R585
F17489,R462
F17514,R429
F16204,R474
F17340,R52
F17908,R205
F17425,R143
F17644,R421
F16821,R60
F17661,R50
F17866,R225
F16624,R372
F17812,R333
F16587,R170
F17740,R139
F16505,R450
F17567,R293
F16845,R402
F16473,R319
F16282,R3
F16714,R343
F16744,R268
F17281,R384
F17664,R141
F17741,R213
F16363,R386
F16706,R310
F17201,R405
F17126,R445
F17660,R429
F17812,R144
F17834,R189
F16248,R261
F16526,R71
F17183,R372
F16295,R269
F17014,R142
F17213,R426
F17615,R435
F17670,R320
F17989,R523
F16660,R165
F17528,R206
F17053,R191
F16649,R499
F17133,R333
F16369,R14
F16364,R563
F16823,R519
F16836,R320
F16859,R108
F16913,R493
F17792,R330
F17362,R123
F17994,R208
F16389,R462
F16883,R78
F17642,R376
F16863,R427
F16453,R323
F17299,R317
F17324,R375
F16266,R197
F17626,R66
F16432,R591
F17877,R197
F17057,R206
F16438,R224
F16718,R487
F17411,R33
F17163,R369
F16211,R287
F16738,R119
F17384,R339
F16215,R85
F16634,R532
F16360,R538
F17292,R230
F16671,R41
F17896,R229
F16828,R461
F16963,R45
F17922,R426
F16253,R347
F17614,R182
F17424,R521
F17550,R232
F17672,R220
F17961,R251
F16270,R58
F16258,R26
F17984,R259
F17199,R456
F16929,R4
F17694,R504
F17890,R255
F16726,R461
F17960,R172
F16449,R66
F16882,R16
F17406,R455
F17388,R189
F17739,R36
F16276,R394
F17800,R107
F17038,R83
F17166,R583
F16511,R568
F16217,R454
F17499,R424
F16387,R225
F16864,R290
F17184,R241
F16826,R431
F16992,R380
F17521,R386
F16672,R90
F16208,R118
F16265,R403
F16610,R70
F16665,R543
F16943,R154
F17954,R174
F17771,R63
F17493,R412
F17724,R350
F17828,R368
F16231,R535
F16871,R75
F16659,R354
F17289,R167
F16754,R91
F16877,R253
F16322,R457
F16797,R31
F16815,R122
F16290,R173
F16355,R131
F16951,R228
F16457,R95
F16356,R519
F16791,R174
F16904,R598
F16893,R487
F17884,R328
F17433,R279
F17560,R147
F17104,R568
F16276,R540
F16707,R261
F16488,R487
F17387,R553
F16688,R522
F16266,R348
F17941,R2
F17498,R441
F17541,R310
F16751,R311
F16628,R571
F16899,R599
F17119,R127
F16364,R540
F16343,R417
F16328,R543
F16947,R127
F17809,R529
F17852,R359
F16620,R10
F16876,R66
F17882,R235
F16524,R50
F17895,R537
F16223,R46
F16426,R436
F16633,R219
F16437,R523
F16985,R474
F16232,R400
F16317,R122
F17582,R155
F17681,R300
F17206,R45
F17977,R386
F17963,R262
F17731,R95
F16873,R76
F16519,R142
F16450,R72
F17185,R449
F16956,R141
F17952,R380
F17397,R72
F16264,R118
F17832,R153
F17065,R441
F17825,R215
F17213,R155
F16821,R72
F17618,R527
F16708,R123
F17505,R524
F17346,R474
F17779,R227
F16396,R375
F17374,R594
F16632,R65
F16639,R98
F16837,R523
F17161,R28
F17228,R546
F16841,R595
F17435,R150
F16916,R564
F17775,R427
F17683,R67
F16495,R292
F16956,R485
F16285,R90
F17135,R161
F16841,R199
F17405,R538
F16223,R489
F17729,R194
F16336,R562
F16929,R510
F16581,R0
F16863,R365
F16948,R246
F17899,R140
F17756,R187
F16806,R414
F16920,R187
F16245,R456
F17722,R115
F16375,R272
F16902,R278
F17872,R485
F16504,R450
F17308,R540
F16292,R220
F17368,R96
F17771,R42
F17836,R190
F17087,R233
F17448,R319
F17624,R343
F17855,R492
F16874,R360
F16585,R477
F16739,R533
F17333,R579
F16439,R112
F17551,R343
F16547,R31
F16702,R291
F16950,R284
F16982,R282
F16425,R392
F16644,R37
F16518,R122
F17191,R211
F17398,R64
F17583,R504
F16355,R44
F17013,R451
F17730,R102
F17152,R345
F17344,R104
F16436,R545
F16392,R527
F17351,R329
F16958,R176
F17571,R503
F16386,R29
F16711,R232
F17993,R25
F17552,R214
F17733,R439
F17687,R539
F17508,R375
F16735,R541
F17723,R67
F16525,R264
F17376,R385
F16813,R433
F16212,R318
F17620,R78
F16598,R382
F17655,R332
F17669,R563
F16415,R510
F16316,R34
F17764,R275
F16472,R418
F17366,R539
F17746,R135
F16850,R136
F17658,R264
F16510,R350
F16818,R505
F17740,R159
F17356,R321
F17378,R282
F16716,R187
F17301,R78
F17641,R179
F16687,R119
F17238,R308
F17969,R346
F17138,R420
F16893,R259
F16266,R9
F16501,R434
F17445,R184
F17401,R207
F16571,R360
F16993,R504
F17596,R497
F17303,R548
F16261,R208
F17865,R278
F17204,R459
F17088,R469
F17447,R417
F17667,R467
F16376,R356
F17090,R316
F17133,R384
F16511,R210
F16526,R298
F17464,R108
F17072,R527
F17565,R460
F17206,R22
F17686,R180
F17721,R439
F16274,R198
F17319,R522
F16379,R260
F17589,R369
F16970,R588
F17980,R289
F17689,R36
F17677,R232
F16508,R373
F17646,R354
F16403,R599
F17608,R85
F17402,R282
F16543,R53
F17664,R192
F16909,R549
F17321,R475
F17453,R224
F17622,R92
F17993,R564
F16221,R118
F17543,R420
F17082,R392
F17738,R255
F17343,R564
F17546,R567
F16647,R182
F17835,R169
F16888,R436
F17357,R235
F17524,R478
F16973,R174
F16636,R466
F17058,R470
F17190,R348
F16599,R319
F16966,R540
F17225,R202
F17129,R486
F17355,R235
F16283,R335
F17472,R198
F16335,R591
F16576,R284
F17951,R552
F17017,R466
F16663,R178
F17889,R57
F16281,R405
F17645,R38
F16987,R438
F17904,R73
F17488,R165
F16793,R460
F16387,R376
F16731,R291
F16845,R566
F16289,R259
F16816,R112
F17744,R158
F17067,R572
F17747,R554
F16227,R553
F16335,R30
F17634,R96
F16256,R277
F16458,R579
F17211,R44
F17041,R242
F17423,R99
F17239,R97
F17773,R255
F17496,R258
F17990,R530
F16790,R540
F17083,R168
F16676,R78
F17112,R77
F16416,R106
F17680,R428
F16421,R32
F17195,R47
F17966,R112
F17176,R143
F17969,R371
F17885,R28
F17103,R582
F16850,R139
F16847,R3
F16471,R462
F16805,R326
F17535,R444
F16915,R591
F17637,R213
F17186,R27
F16479,R532
F16756,R401
F16309,R234
F16448,R352
F16532,R309
F16568,R50
